GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Common Xml,org.bremersee.xml,SchemaBuilder,10,76,0,0,0,13,2,10,2,10
Common Xml,org.bremersee.xml,XmlRuntimeException,0,10,0,0,0,4,0,2,0,2
Common Xml,org.bremersee.xml,JaxbDependenciesResolverImpl.XmlFieldCallback,83,75,10,10,6,17,7,5,0,2
Common Xml,org.bremersee.xml,JaxbUtils,1,226,5,21,0,42,5,31,0,23
Common Xml,org.bremersee.xml,JaxbDependenciesResolverImpl.ScanResult,0,15,0,0,0,6,0,2,0,2
Common Xml,org.bremersee.xml,JaxbRuntimeException,2,17,1,1,0,6,1,3,0,3
Common Xml,org.bremersee.xml,JaxbContextWrapper,1,208,6,30,0,45,6,20,0,8
Common Xml,org.bremersee.xml,XmlDocumentBuilderImpl,40,201,8,16,11,62,9,20,1,16
Common Xml,org.bremersee.xml,XmlDocumentBuilder,0,4,0,0,0,1,0,1,0,1
Common Xml,org.bremersee.xml,JaxbContextBuilder,7,136,3,1,0,35,3,22,1,22
Common Xml,org.bremersee.xml,JaxbContextData,31,381,12,32,4,78,12,34,0,24
Common Xml,org.bremersee.xml,JaxbContextBuilderImpl,35,549,11,53,9,138,10,52,0,30
Common Xml,org.bremersee.xml,SchemaMode,0,33,0,0,0,6,0,1,0,1
Common Xml,org.bremersee.xml,SchemaBuilderImpl,12,288,2,28,2,75,2,27,0,14
Common Xml,org.bremersee.xml,JaxbDependenciesResolverImpl.XmlMethodFilter,6,73,8,11,1,19,7,6,0,3
Common Xml,org.bremersee.xml,JaxbDependenciesResolverImpl.XmlFieldFilter,3,61,4,9,1,17,4,6,0,3
Common Xml,org.bremersee.xml,JaxbDependenciesResolverImpl.XmlMethodCallback,60,70,7,9,6,16,5,5,0,2
Common Xml,org.bremersee.xml,JaxbDependenciesResolverImpl,77,361,7,31,4,68,17,25,11,12
Common Xml,org.bremersee.xml,JaxbContextDetails,20,142,2,6,5,28,3,15,2,12
Common Xml,org.bremersee.xml,SchemaSourcesResolver,0,79,1,3,0,17,1,3,0,2
Common Xml,org.bremersee.xml,JaxbContextDetails.JaxbContextDetailsImpl,0,27,0,0,0,11,0,3,0,3
Common Xml,org.bremersee.xml,SchemaLocation,0,12,0,0,0,2,0,2,0,2
